영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
왕중왕,,4327000,21419000,2162,10561,1,35,미국,,전체 관람가 ,드라마,니콜라스 레이,"제프리 헌터,시옵한 맥케나,허드 햇필드"
러스티 맨,,150000,150000,30,30,1,3,미국,,,액션,"니콜라스 레이,로버트 패리쉬","수잔 헤이워드,로버트 미첨,아서 케네디"
물 위의 번개,,175000,259000,30,48,1,3,스웨덴,,,스웨덴,"니콜라스 레이,빔 벤더스","게리 바만,로니 블랙클리,피에르 코트렐"
배드 타이밍,1984-01-01,76000,76000,38,38,1,1,미국,,,드라마,니콜라스 로에그,"아트 가펀켈,테레사 러셀,하비 케이틀"
지구로 떨어진 사나이,,306000,306000,59,59,1,3,영국,,,,니콜라스 로에그,
쳐다보지 마라,,2645000,2645000,412,412,1,6,영국,,,,니콜라스 로에그,
애프터쇼크,2014-08-07,100000,100000,10,10,1,1,미국,(주)토러스엔터테인먼트,청소년관람불가,공포(호러),니콜라스 로페즈,"일라이 로스,안드레아 오스바트,나타샤 야로벤코,셀레나 고메즈"
프로디지,2019-04-04,40771020,40771020,4734,4734,123,969,미국,판씨네마(주),15세이상관람가,공포(호러),니콜라스 맥카시,"테일러 쉴링,오루니키 아델리이,잭슨 로버트 스콧,콜므 포어"
더 팩트,2013-08-14,11390000,11390000,5070,5070,5,43,미국,스크린조이,15세이상관람가,공포(호러),니콜라스 맥카시,"케이티 롯츠,캐스퍼 반 디엔,헤일리 허드슨"
프레데터 2018,2018-06-19,2000,2000,2,2,1,2,미국,(주) 케이알씨지,[국내] 15세 관람가,액션,니콜라스 메짜나토,"리치 맥도널드,크리스티나 아나파우,엔젤 맥코드"
풀 스피드,2017-08-24,4302100,4302100,570,570,8,54,프랑스,(주)스마일이엔티,15세이상관람가,코미디,니콜라스 베나무,"호세 가르시아,앙드레 뒤솔리에"
카페 벨에포크,2020-05-20,550495880,550495880,66078,66078,463,10688,프랑스,(주)이수C&E,15세이상관람가,코미디,니콜라스 베도스,"다니엘 오떼유,기욤 까네,도리아 틸리에,화니 아르당"
팀퍼틸 아이들,2014-07-10,100000,100000,10,10,1,1,프랑스,데이지엔터테인먼트,전체관람가,어드벤처,니콜라스 베리,"라파엘 카츠,아델 에그자르코풀로스,레오 르그랑"
스파이(들),,197000,197000,25,25,1,1,프랑스,,,드라마,니콜라스 사다,"기욤 까네,제랄딘 팔리아스,스티븐 레아"
나쁜 이웃들,2014-07-03,342630700,342630700,42335,42335,129,2344,미국,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,코미디,니콜라스 스톨러,"세스 로건,로즈 번,잭 에프런,데이브 프랑코"
