영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
부부교환 하던 날,2020-02-26,1932000,1932000,355,355,20,20,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
전성수배,2017-10-19,101000,101000,42,42,4,42,중국,(주)케이알씨지,15세이상관람가,스릴러,왕타오,"유엽,조문탁,추자현"
징기스칸: 지살령,2014-12-18,250000,250000,50,50,1,1,중국,(주)소나무픽쳐스,15세이상관람가,드라마,왕평,"여소군,박예진,이소염,나카이즈미 히데오"
미샹,,15000,15000,3,3,1,2,중국,,15세이상관람가,드라마,"왕홍비,백해빈",도홍
"월든 (일기, 노트, 스케치)",,213000,213000,36,36,1,1,미국,,,다큐멘터리,요나스 메카스,
리투아니아 여행의 추억,,303000,303000,51,51,1,1,미국,,,다큐멘터리,요나스 메카스,
나는 엄마입니다,,77000,77000,17,17,1,2,핀란드,,,다큐멘터리,요나스 베리헬,
수증기에 맺힌 인생,,63000,281000,21,103,1,2,핀란드,,,다큐멘터리,"요나스 베리헬,미카 호타카이넨",
마이 히어로 브라더,,84000,84000,14,14,1,2,이스라엘,,,다큐멘터리,요나탄 니르,
돌고래 소년,,282500,282500,91,91,1,2,이스라엘,,,다큐멘터리,"요나탄 니르,대니 멘킨",
추억의 마니,2015-03-19,284696700,284696700,37228,37228,242,3218,일본,(주)이수C&E,전체관람가,애니메이션,요네바야시 히로마사,
메리와 마녀의 꽃,2017-12-07,-228402557,-228402557,535669,535669,751,21405,일본,CGV아트하우스,전체관람가,애니메이션,요네바야시 히로마사,"스기사키 하나,카미키 류노스케"
마루 밑 아리에티,2010-09-09,286000,-934741092,59,1068004,1,1,일본,CJ ENM,전체관람가,애니메이션,요네바야시 히로마사,"시다 미라이,카미키 류노스케,미우라 토모카즈,이선영,엄상현,장광,최수민,홍범기"
"동쪽으로, 서쪽으로",,14845,14845,18,18,1,1,일본,,,애니메이션,요네쇼 마야,
극장판: 타이거 앤 버니 -더 라이징-,2014-06-19,16573000,16573000,2197,2197,6,149,일본,"㈜T-JOY,씨너스엔터테인먼트(주)",전체관람가,애니메이션,요네타니 요시토모,
극장판: 타이거 앤 버니,2013-02-28,26042000,26042000,3977,3977,25,320,일본,"㈜T-JOY,씨너스엔터테인먼트(주)",전체관람가,애니메이션,요네타니 요시토모,"히라타 히로아키,모리타 마사카즈,코토부키 미나코"
형수님 내가 더 잘해요,2019-05-28,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,요다 테라카고,니카이도 유리
외도의 합리적 해결,,132000,132000,22,22,1,2,스웨덴,,,드라마,요르겐 베리마르크,
송곳니 감독판,,8692800,8692800,972,972,3,34,그리스,(주)컴퍼니엘,,코미디,요르고스 란티모스,"크리스토스 스테르기오글루,미셸 발리"
송곳니,2012-01-05,2970000,12135800,359,1734,2,5,그리스,(주)컴퍼니엘,청소년관람불가,코미디,요르고스 란티모스,"크리스토스 스테르기오글루,미셸 발리"
더 랍스터,2015-10-29,7388500,487889800,825,58957,4,29,영국,"(주)팝엔터테인먼트,(주)영화사오원,(주)브리즈픽처스",청소년관람불가,판타지,요르고스 란티모스,"콜린 파렐,레이첼 와이즈,레아 세이두,벤 위쇼,존 C. 라일리"
킬링 디어,2018-07-12,4385500,522850468,512,60520,2,18,미국,오드,청소년관람불가,스릴러,요르고스 란티모스,"콜린 파렐,니콜 키드먼,배리 케오간"
