■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-08-06,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2007-01-01~2008-12-31   영화구분: 일반영화   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
35,바르게 살자,2007-10-18,"13,944,930,000",0.8%,"13,944,930,000","2,135,606","2,135,606",372,"55,993",한국,한국,필름있수다,CJ ENM,15세이상관람가,"코미디,드라마",라희찬,"정재영,손병호,주진모,김민진,김규철,이새봄,임지은,박성일,박소라,박영,이찬,이재용,조덕현,장소연,이철민,이한위,이해영,정세형,엄수정,진용욱,김승훈,이상훈,이영은,손병욱"
36,극락도 살인사건,2007-04-12,"13,328,932,000",0.7%,"13,328,932,000","2,079,989","2,079,989",368,"54,098",한국,한국,(주)두엔터테인먼트,"(주)엠케이픽처스 ,(주)두엔터테인먼트",15세이상관람가,"공포(호러),미스터리,스릴러",김한민,"박해일,박솔미,송혁조,최지용,정병욱,황태민,김광수,채석운,유혜정,권명환,이주생,성지루,이대연,김인문,오정세,김병춘,박길수,정만식"
37,눈에는 눈 이에는 이,2008-07-31,"13,410,811,500",0.7%,"13,410,811,500","2,058,616","2,058,616",445,"46,474",한국,한국,(주)태원엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,스릴러,액션","곽경택,안권태","한석규,차승원,송영창,김윤태,이병준,김혜정,박영찬,홍의정,최지혜,임성규,박정률,조은성,이건문,서정주,박병렬,정윤,정은주,김철준,오권열,김종만,김영한,김해숙,임현성,김지석,신유람,손병욱"
38,세븐 데이즈,2007-11-14,"13,720,377,000",0.7%,"13,720,377,000","2,048,339","2,048,339",305,"47,249",한국,한국,(주)영화사윤앤준,(주)프라임엔터테인먼트,청소년관람불가,"스릴러,범죄",원신연,"김윤진,김미숙,박희순,최명수,장항선,양진우,정동환,이도겸,조덕현,서동수,신현종,길해연,강나일,신영훈,김남원,김노경,유성철,윤재웅,임경진,오현철,김정필,신성일,오광록,옥지영,권병길,진용욱,정종열,곽진석"
39,사랑,2007-09-19,"13,446,137,500",0.7%,"13,446,137,500","2,023,174","2,023,174",381,"54,789",한국,한국,"(주)진인사필름,(주)태원엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"멜로/로맨스,액션",곽경택,"주진모,박시연,김민준,김혜정,최지은,임성규,주현,박진우,진현우,최성우,박시완,김광규,임현성,손희순"
40,색즉시공 시즌2,2007-12-12,"13,466,476,000",0.7%,"13,466,476,000","2,002,423","2,002,423",390,"41,017",한국,한국,(주)두사부필름,CJ ENM,청소년관람불가,코미디,윤태윤,"임창정,송지효,최성국,신이,김태호,김형일,정혜윤,홍지영,박민아,양현주,이진운,김정현,이상윤,박영수,김정민,송재룡"
41,본 얼티메이텀,2007-09-12,"13,206,624,000",0.7%,"13,206,624,000","1,992,515","1,992,515",332,"48,590",미국,미국,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,스릴러,미스터리,어드벤처",폴 그린그래스,"맷 데이먼,줄리아 스타일즈"
42,박물관이 살아있다!,2006-12-21,"11,057,214,900",0.6%,"24,401,542,200","1,908,794","4,245,247",338,"34,043",미국,미국,"이십세기폭스필름코퍼레이션,1492픽쳐스",이십세기폭스코리아(주),전체관람가,"코미디,어드벤처",숀 레비,"벤 스틸러,로빈 윌리엄스"
43,아내가 결혼했다,2008-10-23,"12,062,180,000",0.7%,"12,062,180,000","1,799,447","1,799,447",417,"57,496",한국,한국,(주)주피터필름,CJ ENM,청소년관람불가,"멜로/로맨스,드라마",정윤수,"손예진,김주혁,주상욱,이주실,천성훈,오정세,김병춘,정세형,오연아,손희순"
44,내셔널 트레져:비밀의 책,2007-12-19,"11,356,730,500",0.6%,"11,356,730,500","1,745,669","1,745,669",365,"35,082",미국,미국,"제리 브룩하이머 필름,월트 디즈니 픽쳐스",한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,어드벤처",존 터틀타웁,"니콜라스 케이지,존 보이트,다이앤 크루거,저스틴 바사"
45,바람피기 좋은 날,2007-02-08,"10,738,218,900",0.6%,"10,738,218,900","1,708,979","1,708,979",372,"39,989",한국,한국,(주)아이필름홀딩스,(주)시네마서비스,청소년관람불가,"드라마,멜로/로맨스,코미디",장문일,"김혜수,윤진서,이종혁,이민기,김도연,송정은,홍상아,조선경,백진주,김남훈,박마리아,장선영,윤정호,박수화,정원모,김정동,오혜원,최은애,김영경,박상면,정은표,황정민,김승훈,김영웅,한혜선"
46,님은 먼 곳에,2008-07-24,"11,205,439,000",0.6%,"11,205,439,000","1,706,037","1,706,037",499,"36,555",한국,"한국,태국",(주)타이거픽쳐스,(주)쇼박스,15세이상관람가,"드라마,전쟁",이준익,"수애,정진영,정경호,주진모,조미령,홍영승,한성수,릭키 준,서성만,장재욱,이홍복,김장수,윤석진,이정세,오세영,이영수,오승현,정인애,최운석,신현탁,신정근,이주실,박윤호"
47,점퍼,2008-02-14,"10,943,088,000",0.6%,"10,943,088,000","1,665,268","1,665,268",350,"43,335",미국,미국,,이십세기폭스필름코퍼레이션,15세이상관람가,"SF,드라마,어드벤처",더그 라이만,"레이첼 빌슨,헤이든 크리스텐슨,제이미 벨"
48,고死 : 피의 중간고사,2008-08-07,"10,300,791,000",0.6%,"10,300,791,000","1,634,192","1,634,192",270,"42,719",한국,한국,"(주)코어콘텐츠미디어,(주)워터앤트리",에스케이텔레콤(주),15세이상관람가,"공포(호러),스릴러",창,"이범수,남규리,김범,박우람,조기원,김형진,권현상,진성,백하나,이효연,윤정희,양지원,이도현,유신애,함은정,이얼,최배영,공정환,손여은"
49,무방비도시,2008-01-10,"10,591,149,500",0.6%,"10,591,149,500","1,600,856","1,600,856",336,"38,306",한국,한국,쌈지아이비젼영상사업단,CJ ENM,15세이상관람가,"범죄,액션",이상기,"김명민,손예진,김해숙,김준배,김정태,홍의정,김병옥,박종희,심민섭,박찬형,황혜영,최동현,이상하,유재영,박병렬,장지용,윤유선,오정미,김철준,이규환,김영덕,김영두,이창영,박성웅,김원진,이얼,유재명,박길수,조상건,지대한,손병호,염혜란,이장희,김기천,오연아,신유람"
50,적벽대전:거대한 전쟁의 시작,2008-07-10,"10,192,112,500",0.6%,"10,192,112,500","1,570,703","1,570,703",447,"32,719",중국,중국,,(주)쇼박스,15세이상관람가,"액션,드라마,전쟁",오우삼,"양조위,금성무,장첸,나카무라 시도,호군,장풍의,조미,즈링 린/임지령"
51,원스어폰어타임,2008-01-31,"10,136,738,500",0.5%,"10,136,738,500","1,544,486","1,544,486",314,"37,679",한국,한국,윈엔터테인먼트,(유)씨에이치엔터테인먼트,12세이상관람가,"액션,코미디",정용기,"박용우,이보영,김수현,성동일,김응수,이상찬,안길강,조희봉,서민균,심호성,강규영,강동원,신성식,김은혜,박현주,김대규,박광민,최명식,유동훈,김인철,장인호,김송미,임원창,정세진,여운철,최욱,김명수,김도영"
