,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
3005,극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,-406269196,-406269196,550961,550961,509,11772,일본,CJ 엔터테인먼트,[국내] 전체 관람가,애니메이션,"타카하시 시게하루,우시로 신지","박경혜,김현지,홍범기"
3006,비밀섹스:굶주린 아내의 일탈,2017-09-20,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,타카하시 오사무,미즈모토 에리카
3007,극장판 아따맘마3D : 엄마는 초능력자,2011-09-08,403381000,403381000,60368,60368,123,2228,일본,씨너스엔터테인먼트(주),[국내] 전체 관람가,애니메이션,타카하시 와타루,"와타나베 쿠미코,오가타 켄이치,오리카사 후미코"
3008,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,2017-01-25,905611600,905611600,119197,119197,334,4442,일본,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,타카하시 와타루,"박영남,김환진,강희선,여민정,장경희,정혜옥,송하림,김연우,박영화,장미,윤은서,이기성,장예나,김민주,현경수"
3009,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,2015-04-23,1085388600,1085388600,150226,150226,372,5097,일본,이수문화컨텐츠투자조합,[국내] 전체 관람가,애니메이션,타카하시 와타루,"야지마 아키코,나라하시 미키,후지와라 케이지"
3010,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,586691600,-1559567646,75806,353012,336,2426,일본,(주)씨제이이엔엠,전체관람가,애니메이션,타카하시 와타루,"박영남,강희선,김환진,여민정,정유미,정혜옥,이용신,한채언,윤여진,홍범기,정혜원,박리나,김율,이호산,김현심"
3011,한 침대의 형수님,2017-12-21,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카하시 츠츠무,
3012,거유 치과 간호사,2017-07-01,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,타카하시 카즈히코,
3013,옆집 유부녀의 가슴,2017-06-22,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,일본,타카하시 카즈히코,
3014,치과 간호사의 가슴,2017-07-01,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,타카하시 카즈히코,
3015,섹시한 이자카야 여주인,2018-05-17,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카하시 후지미,
3016,헌티드 파크,2020-05-06,30965360,30965360,3569,3569,143,1084,일본,(주)삼백상회,15세이상관람가,공포(호러),타카하시 히로시,"코미야 아리사,키타하라 리에,고지마 후지코,아사카와 나나,마츠다 루카,사이토 나리"
3017,카쿠야의 음란한 동거: 그녀의 정사,2016-11-07,150000,150000,30,30,1,1,일본,(주)다날엔터테인먼트,청소년관람불가,멜로/로맨스,타카하타 쿠아나,아키야마 쇼코
3018,백엔의 사랑,2016-06-16,441000,42868100,47,5724,1,4,일본,주식회사 씨네룩스,청소년관람불가,멜로/로맨스,타케 마사하루,"안도 사쿠라,아라이 히로후미"
3019,나만의 판타지 섹스,2020-12-01,6000,6000,1,1,1,1,일본,(주)빅콘미디어,청소년관람불가,성인물(에로),타케다 케이시,히나타 우미
3020,나만의 판타지 섹스2,2020-12-01,6000,6000,1,1,1,1,일본,,,,타케다 케이시,
3021,신인 AV 여배우의 첫 촬영,2020-11-02,6000,6000,1,1,1,1,일본,,,,타케다 케이시,
3022,거유 형수님과 불륜,2016-05-18,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타케다 케이시,아사기 메이
3023,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,2017-11-09,501609700,501609700,65992,65992,370,3539,일본,(주)NEW,[국내] 전체 관람가,액션,타케모토 노보루,"나카오 마사키,야나기 미키,난바 쇼헤이"
