,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
14668,웨이스트 랜드,2014-04-03,456000,19846000,76,2830,1,3,브라질,(주)나이너스엔터테인먼트,전체관람가,다큐멘터리,루시 워커,
19046,부에나 비스타 소셜 클럽 2: 아디오스,2017-10-26,31662000,31662000,4122,4122,75,883,미국,글뫼 주식회사,12세이상관람가,다큐멘터리,루시 워커,
7941,죽음의 천사,2014-05-29,609000,609000,96,96,3,30,아르헨티나,(주)컴퍼니엘,12세이상관람가,스릴러,루시아 푸엔조,"알렉스 브렌데뮬,나탈리아 오레이로,디에고 퍼레티"
6158,벨라 키스,2014-07-30,11276000,11276000,1964,1964,19,55,독일,(주)에이블엔터테인먼트,청소년관람불가,공포(호러),루시앙 포스트너,크리스티나 크레브
9659,미스테리 예고살인,2014-07-23,80000,80000,20,20,1,2,미국,스크린조이,15세이상관람가,미스터리,루시우스 C. 쿠에트,"로버트 미아노,대니 글로버,마틴 랜도,빌리 제인"
8745,사로얀랜드,,138000,138000,53,53,1,2,터키,,,다큐멘터리,루신 딩크,
20818,수춘도 2: 수라전장,2017-11-23,845000,845000,191,191,5,56,중국,주식회사 풍경소리,15세이상관람가,액션,루양,장첸
22233,연인들,,321000,321000,72,72,1,3,프랑스,,,드라마,루이 말,잔느 모로
7390,데미지,1994-12-17,1073000,20652000,187,3018,2,21,영국,예지림엔터테인먼트,"연소자관람불가,청소년관람불가",드라마,루이 말,"제레미 아이언스,줄리엣 비노쉬,미란다 리차드슨,루퍼트 그레이브즈"
16299,굿바이 칠드런,1989-12-24,107000,48225000,12,6409,1,1,프랑스,,연소자관람가,드라마,루이 말,"라파엘 페이토,가스파드 마네스"
32445,더 게임 체인저스,,7000,7000,7,7,1,1,미국,,,다큐멘터리,루이 시호요스,
21678,레이싱 익스팅션,,621000,2876000,108,365,1,6,미국,,,다큐멘터리,루이 시호요스,
