,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
11229,청계천 메들리,,27000,1011000,3,182,1,1,한국,,,다큐멘터리,박경근,박경근
11230,철의 꿈,2014-11-13,338000,10544700,54,1440,1,10,한국,영화사 진진,[국내] 전체 관람가,다큐멘터리,박경근,박경근
11231,나와 부엉이,,160000,160000,23,23,1,1,한국,,,다큐멘터리,박경태,
11232,거미의 땅,2016-01-14,75000,7742100,11,1302,1,1,한국,(주)시네마달,[국내] 15세 관람가,다큐멘터리,"박경태,김동령",
11233,아름다운 청년 전태일,1995-11-18,0,118000,0,21,1,2,한국,"대우시네마, 대우시네마",[국내] 15세 관람가,드라마,박광수,"문성근,홍경인,김선재"
11234,그 섬에 가고 싶다,1993-12-24,25000,221000,5,43,1,1,한국,,[국내] 전체 관람가,드라마,박광수,"안성기,문성근,심혜진"
11235,그들도 우리처럼,1990-11-10,244000,734000,122,310,1,10,한국,,[국내] 청소년 관람불가,드라마,박광수,"문성근,박중훈,심혜진"
11236,칠수와 만수,1988-11-26,42000,851000,6,327,1,2,한국,,[국내] 15세 관람가,드라마,박광수,"안성기,박중훈,배종옥"
11237,회초리,2011-05-19,479093000,479093000,74765,74765,142,4246,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,박광우,"안내상,전소영,진지희,윤주상,정호원,송성호,최지원,태리,박재훈,심재훈,박지연,박지혜,하수민,김병무,김나경,김남원,서은미,서준,김복희,김봉곤,채윤,유승연,임현정,장윤정,이성경,박상은,최성진,박성열,김재일,양유진,이하늘,김용운,이준건,최상준,춘자,최지원"
11238,수목장,2012-11-15,1406000,1406000,263,263,2,14,한국,주식회사 마운틴픽쳐스,청소년관람불가,공포(호러),박광춘,"이영아,온주완,박수진,연제욱,이현웅,정아름,주경선,최용호,홍다혜,홍정연,이원호,김원훈,박정호,이찬호"
11239,조작된 도시,2017-02-09,712000,-1330131893,89,2515590,1,1,한국,(주)씨제이이엔엠,15세이상관람가,범죄,박광현,"지창욱,심은경,안재홍,오정세,김상호,김민교,김기천,이하늬,박재민,박정환,박주현,박준규,박지홍,장민준,전영욱,정근수,정상문,신동호,신민철,정이삭,오준표,오지홍,조진규,윤성민,최경미,최경식,최창국,이민호,이민호,이상진,이석,이석,이수빈,한성관,이유진,이정훈,이정훈,이종혁,노남석,백승철,손강국,한지은,박지후,오재세,김슬기,박경혜,권태원,이성우,하성광,승의열,임용순,임지수,이도국,엄지만,서이안,배민정,김회진,한대훈"
11240,웰컴 투 동막골,2005-08-04,40000,1674649836,5,6436900,1,1,한국,(주)쇼박스,12세관람가,전쟁,박광현,"신하균,정재영,강혜정,류덕환,임하룡,강남석,조혜진,손재영,신영철,류창국,김도영,민창기,이화경,최민영,최상순,임은희,박아형,정영기,김찬호,이경애,이다운,김영배,서재경,유승목,조덕현,심원철,리민,이란희,하성광"
11241,모자(母子)란 기억,,568000,568000,114,114,1,4,한국,,,,박군제,
11242,푸른노을,2017-11-23,203000,22938200,29,4460,1,29,한국,(주)드림팩트엔터테인먼트,12세이상관람가,드라마,박규식,"박인환,오미희,남경읍,서정호,엄에녹,윤철호,이경재,이승희,이현우,박명신,최유하,김현숙"
11243,터널 3D,2014-08-20,258000,621132000,19,81008,1,5,한국,(주)박수엔터테인먼트,15세이상관람가,공포(호러),박규택,"정유미,연우진,송재림,정시연,이태현,박지원,서종민,전수아,양영택,유세문,정원태,정진,차수빈,차은미,이예림,이지혜,김윤아,노슬기,명진석,유재명,손병호,전우재,배우희"
11244,더하우스,2019-12-12,7631000,7631000,1245,1245,48,75,한국,(주)이놀미디어,15세이상관람가,스릴러,박균이,"오창석,서우,김사희,원현준,박태건,백수련,오아린,조수지,김태현,윤지혜라,이채윤,김태용,이은호,유경,김민선,이은호,김경은,오제근,김미현,송다영,최규림,가심현,금제영"
11245,목격자의 밤,,27500,27500,22,22,1,10,한국,,[국내] 15세 관람가,드라마,박근범,"변요한,곽자형,박성연"
11246,여고생,,3832200,3832200,535,535,2,29,한국,CGV 아트하우스,[국내] 청소년 관람불가,드라마,박근범,"공예지,박예영,한이진"
11247,정말 먼 곳,2021-03-18,2943000,2943000,395,395,1,10,한국,그린나래미디어(주),12세이상관람가,드라마,박근영,"강길우,홍경,이상희,기주봉,기도영,최금순,김시하"
11248,한강에게,2019-04-04,18723160,19988960,2667,2865,31,494,한국,㈜인디스토리,12세이상관람가,드라마,박근영,"강진아,강길우,한기윤,전고운,이요섭,한준우,강길우,박시하,손지현,안희연,최수진,이진성,정도원,강혜은,권오광,권해우,이동훈,이영숙,김제형,문병준,진소연,윤길복,안슬기,안슬기,최원용,이요섭,최지숙,백서현,박민일"
11249,버프,,3734,46767,16,89,1,3,한국,,,애니메이션,"박근태,전종기,유경수",홍범기
11250,콕!애니 - [섹션3] Old but New : 변주,,2461500,2461500,494,494,1,6,한국,,,,"박근태,전종기,유경수,곽기혁,장윤정,김준기,이문주,김민혜,김강민",
11251,임을 위한 행진곡,2018-05-16,110000,140095700,16,18039,1,2,한국,(주)알앤오엔터테인먼트,15세이상관람가,드라마,박기복,"김꽃비,김부선,전수현,김채희,이한위,김효명,한다영,이재구,설지윤,구재갑,김경모,김경모,김기환,김대현,김동현,김민기,김민영,김민중,김영훈,김은주,김재석,김종협,김태진,김태진,김한울,박도형,박영진,박정우,박정원,안진희,유우람,이승연,이주연,이하나,정성희,정재훈,조은아,지대한,홍지연,소윤호"
11252,365,,14400,14400,24,24,1,2,한국,,,애니메이션,박기완,
11253,쉰,,220200,220200,38,38,1,2,한국,,,다큐멘터리,박기용,
11254,마음의 소리를 들어라,,307000,307000,72,72,1,2,한국,,,드라마,박기용,
11255,여고괴담,1998-05-30,0,274500,0,41,1,2,한국,시네마서비스,[국내] 15세 관람가,공포,박기형,"이미연,박용수,김규리"
11256,미망인,1955-12-10,190000,3853000,95,1402,1,9,한국,,,멜로/로맨스,박남옥,"이민자,이택균,최남현"
11257,악인이여 지옥행 열차를 타라,1977-01-28,584000,1115000,287,560,1,8,한국,,,,박노식,
