,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우,감독값
17364,불량선생,2016-10-25,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코미나미토시야,['카토리나'],10
17365,미츠에의 남친 고르기,2013-08-29,30000,30000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,코미나미토시야,['호리구치나츠미'],0
17366,롯본기 양키전쟁,2016-04-02,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,액션,코미나미토시야,['오츠키히비키'],10
17367,이케부쿠로 양키전쟁 2 - 사키,2016-04-16,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,액션,코미나미토시야,['하라다아키에'],10
17368,매일 엄마,1900-01-01,185000,185000,31,31,1,2,일본,0,등급없음,코미디,0,"['코이즈미쿄코', '나가세마사토시', '야베쿄스케']",0
17369,전원사형,2019-05-13,137483280,137483280,25816,25816,7,160,일본,제인앤유,청소년관람불가,스릴러,0,"['마미야쇼타로', '마이구마카츠야', '무사카나오마사']",0
17370,닌자보이 란타로 : 삼총사의 대모험,2012-10-11,164000,164000,41,41,1,10,일본,0,전체관람가,애니메이션,코바야시츠네오,"['타카야마미나미', '타나카마유미', '이치류사이테이유']",0
17371,더 라스트: 나루토 더 무비,2015-02-26,392023272,392023272,52833,52833,158,2109,일본,와이드릴리즈(주),12세이상관람가,애니메이션,코바야시츠네오,"['다케우치준코', '나카무라치에', '모리쿠보쇼타로']",41
17372,영업사원: 5시부터 2차영업,2016-10-21,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코보,"['아사히나아카리', '야마가타켄']",0
17373,여직원:그녀의 섹스영업,2018-04-18,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,코보,['0'],1
17374,외로움을 달래주는 몸친구,2019-06-07,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,0,['0'],0
