영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,감독값,배급사값,배우합,배우평균
E-19 바이러스,2018-04-09,1000,1000,1,1,1,1,미국,주식회사레드아이스,청소년관람불가,장르없음,0,0,9,0,0
더 프레피 커넥션,2017-01-10,300000,300000,60,60,1,1,미국,(주)블루브릭,청소년관람불가,범죄,0,0,47,7650,2550
미국여행,1900-01-01,2585,2585,12,12,1,1,중국,0,등급없음,애니메이션,0,0,0,0,0
온리 더 브레이브,2018-03-07,390912300,390912300,49612,49612,301,4434,미국,㈜코리아스크린,12세이상관람가,드라마,조셉코신스키,0,50953,2001599,667199
트론: 새로운 시작,2010-12-29,912750596,556346704,306012,437319,371,10005,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,SF,조셉코신스키,0,739794,2153289,717763
오블리비언,2013-04-11,1719060388,1719060388,1515356,1515356,634,47871,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,액션,조셉코신스키,437319,574134,2817545,939181
수학자의 집,1900-01-01,576000,576000,96,96,1,2,캐나다,0,등급없음,다큐멘터리,0,0,0,0,0
뉴저지 사이코킬러,2018-02-10,3000,3000,1,1,1,1,미국,주식회사레드아이스,15세이상관람가,장르없음,0,0,10,0,0
도시를 꿈꾸다,1900-01-01,258000,258000,43,43,1,2,캐나다,0,등급없음,다큐멘터리,0,0,0,0,0
맥카닉: 마지막 추격,2014-10-02,100000,100000,10,10,1,1,미국,(주)마인스엔터테인먼트,15세이상관람가,미스터리,조쉬C.월러,0,25547,155148,51716
카미노,2016-06-22,300000,300000,60,60,1,1,미국,(주)블루브릭,청소년관람불가,액션,조쉬C.월러,10,41,1,0
아일랜드 제로,2020-06-26,6000,6000,1,1,1,1,미국,주식회사플릭스코,청소년관람불가,공포,0,0,36,0,0
스위치,2010-12-01,558483500,558483500,82503,82503,162,6854,미국,씨너스엔터테인먼트(주),15세이상관람가,멜로로맨스,0,0,0,322975,161487
나일 퍼치,1900-01-01,51000,51000,51,51,1,2,미국,0,등급없음,다큐멘터리,0,0,0,0,0
리틀 데스,2016-06-02,60000,60000,10,10,1,1,기타,(유)영화사화수분,청소년관람불가,코미디,0,0,690,54,18
던 월,1900-01-01,93000,93000,17,17,1,1,미국,0,등급없음,다큐멘터리,0,0,0,0,0
인공생선,1900-01-01,518000,518000,84,84,1,4,미국,0,등급없음,다큐멘터리,0,0,0,0,0
스틸 리메인즈,2018-05-11,1982000,1982000,397,397,1,2,미국,0,15세이상관람가,액션,0,0,0,0,0
스턱 인 러브,2014-02-20,105165000,105165000,15147,15147,46,533,미국,(주)앤드플러스미디어웍스,15세이상관람가,코미디,조쉬분,0,2261,738770,369385
뉴 뮤턴트,2020-09-10,546115880,546115880,61897,61897,817,15048,미국,월트디즈니컴퍼니코리아유한책임회사,15세이상관람가,액션,조쉬분,0,3680393,213583,71194
"안녕, 헤이즐",2014-08-13,1538937704,1538937704,749146,749146,326,17946,미국,이십세기폭스코리아(주),12세이상관람가,드라마,조쉬분,15147,892974,424090,141363
아빠의 천국,1900-01-01,225000,225000,38,38,1,3,미국,0,등급없음,코미디,조쉬사프디,0,0,0,0
굿타임,2018-01-04,1166000,26151500,132,3378,1,7,미국,(유)조이앤컨텐츠그룹,15세이상관람가,범죄,조쉬사프디,0,1238,77765,25921
메스카다,2013-03-06,600000,600000,40,40,1,4,미국,스크린조이,15세이상관람가,범죄,0,0,230,33684,16842
폰조,2020-10-14,211759310,211759310,25383,25383,574,7240,미국,(주)키다리이엔티,청소년관람불가,범죄,조쉬트랭크,0,53551,4100944,1366981
크로니클,2012-03-15,1410191296,1410191296,384398,384398,324,20957,미국,이십세기폭스코리아(주),15세이상관람가,액션,조쉬트랭크,0,808859,0,0
판타스틱 4,2015-08-20,1265656696,1265656696,399667,399667,451,16241,미국,이십세기폭스코리아(주),12세이상관람가,액션,조쉬트랭크,0,1255629,2745978,915326
컨트랙티드 2,2015-12-23,8000,8000,1,1,1,1,미국,(주)나우콘텐츠,청소년관람불가,공포,0,0,74,0,0
노숙커플:알몸으로 말해요,2019-04-02,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,0,0,0,0,0
비홀드 마이 하트,2020-05-21,10467300,10467300,1240,1240,47,324,미국,(주)디오시네마,12세이상관람가,드라마,0,0,1593,7922307,2640769
버스정류장,1960-11-19,74000,4295000,37,1930,1,3,미국,0,청소년관람불가,코미디,0,0,0,0,0
"버스, 정류장",1960-11-19,587000,587000,293,293,1,12,미국,0,청소년관람불가,코미디,조슈아로건,0,0,0,0
패니,1900-01-01,1258000,1520000,624,713,1,14,미국,0,등급없음,드라마,조슈아로건,0,0,0,0
피크닉,1900-01-01,896000,15264000,467,7616,1,13,미국,0,등급없음,장르없음,조슈아로건,0,0,0,0
사요나라,1900-01-01,3326000,20377000,1657,10135,2,33,미국,0,등급없음,드라마,조슈아로건,0,0,0,0
남태평양,1971-08-07,765000,20638924,380,11657,1,16,미국,0,15세이상관람가,뮤지컬,조슈아로건,0,0,0,0
잡스,2013-08-29,0,1594901136,0,225343,1,1,미국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,0,0,1300697,542093,180697
전쟁 주식회사,2012-03-29,400000,400000,100,100,1,1,미국,(유)조이앤컨텐츠그룹,청소년관람불가,범죄,0,0,35741,3349771,1116590
"힙합, 세상은 너의 것",1900-01-01,204500,204500,50,50,1,3,프랑스,0,등급없음,장르없음,0,0,0,0,0
침묵의 시선,2015-09-03,114000,40525000,19,5168,1,1,기타,(주)엣나인필름,15세이상관람가,다큐멘터리,조슈아오펜하이머,8683,13399,0,0
액트 오브 킬링,2014-11-20,12468052,68844421,1603,8683,3,68,기타,0,등급없음,장르없음,조슈아오펜하이머,0,0,0,0
"마이 빌리지, 마이 랍스터",1900-01-01,16670,16670,10,10,1,2,미국,0,등급없음,다큐멘터리,0,0,0,0,0
인퍼머스,2020-11-11,23058650,23058650,2499,2499,135,782,미국,(주)디스테이션,청소년관람불가,범죄,0,0,15181,328116,328116
프라이 오토의 움직이는 미래,1900-01-01,1218000,1218000,203,203,1,2,미국,0,등급없음,다큐멘터리,0,0,0,0,0
"치타, 칸지, 너클스",1900-01-01,40000,40000,8,8,1,2,기타,0,등급없음,다큐멘터리,0,0,0,0,0
헛소동,2017-07-27,7683000,7683000,1266,1266,5,112,미국,㈜영화사백두대간,15세이상관람가,드라마,조스웨던,10504007,3429,20,6
어벤져스,2012-04-26,70571980,494645686,11461,7087068,382,2813,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,조스웨던,0,0,6259490,2086496
어벤져스: 에이지 오브 울트론,2015-04-23,54676880,1554098970,9167,10504007,365,2566,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,조스웨던,7087068,2736847,8674890,2891630
"열일곱, 그리고 여름",1900-01-01,447425,447425,351,351,1,4,한국,0,등급없음,드라마,조슬예,0,0,0,0
