,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독
44,광란의 사랑,,7000,7000,14,14,1,2,한국,,,장르없음,김기동
45,렌의 애가,1969-01-01,2008000,3300000,1004,1650,1,30,한국,,,장르없음,김기영
46,암행어사와 흑두건,1969,1384000,2730000,691,1359,1,22,한국,,,장르없음,김기풍
47,철부지 아씨,1968-03-14,1436000,7451000,718,3688,1,27,한국,,,장르없음,김기풍
48,가정방문,,528140,528140,398,398,1,4,한국,,,장르없음,김도영
49,음란한 자매,2019-07-12,109000,109000,20,20,20,20,한국,,[국내] 청소년 관람불가,장르없음,김래이
50,얼음나무,,4278,4278,6,6,1,1,한국,,,장르없음,김미래
51,기린과 아프리카,,287500,287500,230,230,1,2,한국,,,장르없음,김민숙
52,열애,,294050,749050,203,567,1,17,한국,,,장르없음,김병훈
53,우리 만난 지 1년 되는 날,2012-03-08,21000,21000,3,3,2,5,한국,,[국내] 12세 관람가,장르없음,김삼력
54,러브 콜,2012-03-01,550000,550000,87,87,3,40,한국,,[국내] 15세 관람가,장르없음,김삼력
55,가리베가스,,500000,500000,25,25,1,1,한국,,,장르없음,김선민
56,미스 마플과의 하룻밤,,19839,19839,17,17,1,4,한국,,,장르없음,김세랑
57,위자료,1971-03-06,414000,414000,207,207,1,6,한국,,,장르없음,김수용
58,무영탑,1970,210000,2974000,122,1504,1,3,한국,,,장르없음,김수용
59,춘향,1968,3980000,3980000,1990,1990,1,27,한국,,,장르없음,김수용
60,구봉서의 벼락부자,1961,1756000,6332000,878,3158,1,18,한국,,,장르없음,김수용
61,청춘무정,,2478000,12988000,1239,6485,1,52,한국,,,장르없음,김수용
62,감자,1968,586000,586000,293,293,1,6,한국,,,장르없음,김승옥
63,거인의 방,,35478,35478,57,57,1,3,한국,,,장르없음,김시진
64,큰놈의 불기둥,2018-05-17,2000,2000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,김영민
65,팀장님의 아내,2018-11-30,2000,2000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,김영민
66,"오징어, 땅콩",,49039,49039,59,59,1,1,한국,,,장르없음,김원모
67,나르시스의 죽음,,65000,65000,10,10,1,2,한국,,[국내] 15세 관람가,장르없음,김응수
68,물의 기원,,139000,139000,21,21,1,1,한국,,12세 관람가 ,장르없음,김응수
69,초현실,,187000,256000,27,37,1,3,한국,,[국내] 전체 관람가,장르없음,김응수
70,개선문,1978-08-31,1200000,1200000,600,600,1,23,한국,,[국내] 12세 관람가,장르없음,김응천
71,시집 가는 날,1978-05-27,1220000,1220000,610,610,1,11,한국,,[국내] 청소년 관람불가,장르없음,김응천
72,"여름, 위를 걷다",,40800,40800,34,34,1,2,한국,,,장르없음,김이다
73,사라진 시간,,49039,49039,59,59,1,1,한국,,,장르없음,김재민
74,어깨나사,,65780,65780,92,92,1,2,한국,,,장르없음,김정한
75,바람이 지나는 길,,228822,228822,264,264,2,5,한국,씨앗,[국내] 12세 관람가,장르없음,김주임
76,체커게임에서 이기는 방법,,528000,528000,66,66,1,2,태국,,[국내] 12세 관람가,장르없음,김준표
77,"선거, 일본의 경우2",,160000,160000,33,33,1,4,한국,,,장르없음,김지영
78,휴일,,82000,1024000,14,171,1,3,한국,,,장르없음,김진무
79,24개월 후,,228000,228000,228,228,1,5,한국,,,장르없음,김찬년
80,양이 깨어나는 시간,,26400,26400,22,22,1,2,한국,,,장르없음,김창선
81,어느 쌀쌀한 보름밤,,8750,8750,7,7,1,2,한국,,,장르없음,김태엽
82,밤벌레,,531500,531500,419,419,1,6,한국,,,장르없음,김태용
83,술술,,152000,152000,152,152,1,1,한국,,,장르없음,김한결
84,집으로 오는 길,,370074,370074,222,222,1,5,한국,,,장르없음,김한라
85,열쇠,,58500,58500,39,39,1,3,한국,,,장르없음,김현철
86,여자들만 사는 거리,1976-05-15,550000,550000,275,275,1,22,한국,,[국내] 청소년 관람불가,장르없음,김호선
87,임권택 감독의 달빛 만들기,,90000,90000,18,18,1,1,한국,,,장르없음,김홍준
88,사랑할 수 없는 시간,,179000,179000,33,33,1,4,한국,,,장르없음,김희철
89,어두워지기 전에,,675000,675000,114,114,1,5,이탈리아,,,장르없음,끌로드 샤브롤
90,지옥,2010-12-14,893000,1513000,159,270,1,7,프랑스,,,장르없음,끌로드 샤브롤
91,의식,,2259000,4689000,363,750,1,7,프랑스,,,장르없음,끌로드 샤브롤
92,거근이 좋아,2018-03-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,나가에 타카미
93,발정난 어린 아내 길들이기,2018-04-24,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,나가에 타카미
94,유부녀의 불륜고백,2018-02-21,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,장르없음,나가에 타카미
95,부부,,790000,790000,128,128,1,5,일본,,,장르없음,나루세 미키오
96,아내,,787000,787000,134,134,1,5,일본,,,장르없음,나루세 미키오
97,여성전용 마사지 도촬,2018-07-12,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,나베 유키오
98,밀회: 아내의 비밀섹스,2017-03-18,5000,5000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,나쿠루 하라다
99,밀회: 아내의 비밀섹스 2,2017-03-18,5000,5000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,나쿠루 하라다
100,거래처 여직원,2018-02-21,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,장르없음,나쿠루 하라다
101,비앙카,,175000,175000,25,25,1,2,이탈리아,,,장르없음,난니 모레티
102,4월,,213000,213000,42,42,1,3,프랑스,,,장르없음,난니 모레티
103,최악의 친구들,,27332,27332,10,10,1,1,한국,,,장르없음,남궁선
104,남자들,,400000,400000,251,251,1,6,한국,,,장르없음,남궁선
105,이브의 세 얼굴,,690000,690000,335,335,1,16,미국,,,장르없음,누날리 존슨
106,날으는 해병대,1963-11-02,679000,2355000,337,895,1,12,미국,,,장르없음,니콜라스 레이
107,야생의 순수,,1714000,5549000,854,2626,1,32,프랑스,,,장르없음,니콜라스 레이
108,물 위의 번개,,175000,259000,30,48,1,3,스웨덴,,,장르없음,"니콜라스 레이,빔 벤더스"
109,검은 눈동자,,432000,606000,86,120,1,1,이탈리아,,,장르없음,니키타 미할코프
110,감옥과 천국,,150000,150000,30,30,1,2,인도네시아,,,장르없음,다니엘 루디 하리얀토
