,index,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
7399,24163,야외 거유의 유혹,2016-04-01,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,멜로로맨스,모리야마 시게오,"미즈나 레이,코다 리리"
7400,24164,구멍난 팬티,2012-07-24,57000,57000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,모리오카 토시유키,시노자키 아이
7401,24165,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,431771300,431771300,56539,56539,191,2632,일본,BoXoo 엔터테인먼트,전체관람가,애니메이션,모리와키 마코토,0
7402,24166,니가 사는 그 집: 불륜 전세 계약서,2020-09-04,2000,2000,1,1,1,1,일본,0,청소년관람불가,에로,모리카와 케이,0
7403,24167,싱글녀의 av배우 특집,2016-12-15,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,모리카와 케이,마루 준코
7404,24168,여성배우들,2016-05-16,100000,100000,10,10,1,1,일본,(주)에스와이미디어,청소년관람불가,드라마,모리카와 케이,"모리다 아키,이토 베니"
7405,24169,형의 여자,2016-12-15,809000,2411000,159,337,20,20,한국,(유)쏘아필름,청소년관람불가,멜로로맨스,"모리카와 케이,모리오카 토시유키","시나토 루리,메구리,최민호"
7406,24170,프라이빗섹스,2014-12-17,14000,14000,2,2,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,멜로로맨스,모리카쿠 타케유키,"아이카 슌,후지자와 타로"
7407,21774,사나이 다테,,4523,4523,21,21,1,2,일본,0,전체관람가,애니메이션,모리타 슈헤이,0
7408,1701,프리덤,,1327000,1327000,228,228,1,5,일본,0,등급없음,애니메이션,모리타 슈헤이,0
7409,24171,사랑의 이발소,,137000,137000,37,37,1,2,일본,0,청소년관람불가,코미디,모리타 요시미츠,"테라시마 마유미,야마구치 치에,와타나베 료코"
7410,24172,실락원,2011-07-28,102000,510000,51,116,1,1,일본,에이원엔터테인먼트,청소년관람불가,드라마,모리타 요시미츠,"야쿠쇼 코지,쿠로키 히토미,테라오 아키라"
7411,2705,남쪽으로 튀어,,1412500,1412500,184,184,1,8,일본,(주)키노아이디엠씨,12세이상관람가,드라마,모리타 요시미츠,아마미 유키
7412,24173,고양이의 보은,2003-08-08,644000,2536000,129,583,1,2,일본,CJ ENM,전체관람가,애니메이션,모리타 히로유키,"이케와키 치즈루,하카마다 요시히코"
7413,24174,원피스 : 에피소드 오브 루피 ~핸드 아일랜드의 모험~,2014-12-10,11342500,11342500,1581,1581,17,101,일본,와이드 릴리즈(주),15세이상관람가,애니메이션,"모리타 히로유키,혼고 미츠루","타나카 마유미,나카이 카즈야,오카무라 아케미,야마구치 캇페이"
7414,24175,잭과 척,,10620,10620,64,64,1,2,프랑스,0,등급없음,애니메이션,"모린 크레스만,토머스 크레핀,알렉상드르 쇼드레",0
7415,24176,알제리의 이탈리아 여인,2019-03-17,23959500,23959500,1013,1013,6,71,독일,(주)케빈앤컴퍼니,15세이상관람가,공연,"모셰 라이저,파트리스 코리에",체칠리아 바르톨리
7416,24177,텔레비전,2013-11-07,196000,4909000,35,794,1,2,기타,(주)엣나인필름,전체관람가,코미디,모스타파 사르와르 파루키,"누스랏 임로세 티샤,샤히르 카지 후다"
7417,24178,철권: 블러드 벤전스,2012-04-05,22000,22000,4,4,1,3,일본,(주)도키엔터테인먼트,15세이상관람가,애니메이션,모우리 요이치,"사카모토 마아야,마츠오카 유키,미야노 마모루"
7418,24179,주부의 일탈-남편 부하,2015-06-17,270000,270000,54,54,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,모치나가 히로시,카자마 유미
7419,24180,화려한 오후: 그녀의 새파트너,2015-06-17,270000,270000,54,54,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,모치나가 히로시,카와카미 유우
7420,24181,육체영업의 꽃,2017-09-26,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모치나가 히토시,0
7421,596,육식계 간호사,2017-08-17,6000,6000,1,1,1,1,일본,0,청소년관람불가,장르없음,모치나가 히토시,0
7422,24182,감각의 제국 2 - 사다의 사랑,,8000,8000,2,2,2,2,일본,0,청소년관람불가,멜로로맨스,모치즈키 로쿠로,"나카야마 카즈야,우치다 유야,스기모토 아야"
7423,24183,하늘을 나는 타이어,,211000,211000,25,25,1,8,일본,0,12세이상관람가,드라마,모토키 카츠히데,"나가세 토모야,딘 후지오카,타카하시 잇세이"
7424,24184,타락하는 유부녀,2013-01-31,30000,30000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,모토키 타카시,코우다 히토미
7425,24185,교생 미나코,2016-02-16,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,모토키 타카시,"아카츠키 루나,이시카와 유이치"
7426,24186,새 엄마의 딸: 내 여자가 되던 날,2016-08-16,300000,300000,60,60,1,1,일본,(주)소나무픽쳐스,청소년관람불가,멜로로맨스,모토키 타카시,아오야마 유이
7427,24187,막이 오른다,2019-03-14,120000,120000,20,20,1,1,일본,(주)에이원엔터테인먼트,12세이상관람가,드라마,모토히로 카츠유키,"모모타 카나코,타마이 시오리,타카기 레니,아리야스 모모카,사사키 아야카"
7428,24188,아인,2018-02-28,135549900,135549900,17287,17287,160,1684,일본,판씨네마(주),15세이상관람가,SF,모토히로 카츠유키,"사토 타케루,아야노 고,하마베 미나미"
7429,178,춤추는 대수사선 2,2003-12-12,129612500,129612500,19882,19882,6,279,일본,(주)오시네마,12세이상관람가,액션,모토히로 카츠유키,"오다 유지,후카츠 에리"
7430,1481,소림소녀,2008-07-24,169120500,169120500,26434,26434,137,2883,일본,㈜케이디미디어,12세이상관람가,액션,모토히로 카츠유키,"시바사키 코우,나카무라 토오루"
