영화명,개봉일,누적관객수,배급사,감독,배우
모터사이클 다이어리,2004-11-12,90242,UIP코리아,월터살레스,"가엘가르시아베르날,로드리고드라세르나,미아마에스트로"
거친 녀석들,2007-08-30,6102,한국소니픽쳐스릴리징브에나비스타영화㈜,월트벡커,"팀알렌,존트라볼타"
푸지안 블루,1900-01-01,12,0,웡셔우밍,0
다즐링 주식회사,2007-12-13,10711,이십세기폭스코아(주),웨스앤더슨,"오웬윌슨,애드리언브로디"
판타스틱 Mr. 폭스,2009-12-24,19303,이십세기폭스코리아(주),웨스앤더슨,"조지클루니,메릴스트립,빌머레이,제이슨슈왈츠먼"
나이트 플라이트,2005-09-09,296670,CJENM,웨스크레이븐,"킬리언머피,레이첼맥아덤즈"
트루 저스티스,2011-06-30,93,(주)소나무픽쳐스,웨인로즈,스티븐시걸
메탈리카와 샌프란시스코 심포니,2020-05-20,1534,CJENM,웨인이샴,"제임스헤필드,라스울리히"
러닝 스케어드,2006-06-08,47988,㈜스튜디오이쩜영,웨인크라머,"폴워커,카메론브라이트"
그곳,2020-08-26,94,(주)영화사안다미로,위펀우,0
17: 축구하는 소녀들,1900-01-01,145,0,위다드샤파코즈,0
하이자오 7번지,2010-03-18,393,주식회사마운틴픽쳐스,위덕성,"범일신,타나카치에"
넌더리,1900-01-01,64,0,위득규,0
카르마,2008-06-19,7472,(주)누리픽쳐스,위시트사사나티앙,시라판와타나진다
시티즌 독,2006-03-09,8364,CJENM,위시트사사나티앙,"마하스무트분야락,상통켓우통"
무협: 절대비기의 비밀,2020-02-03,1,(주)소나무픽쳐스,위입주,0
팔로우 미,2020-10-22,4715,(주)디스테이션,윌워닉,"키건앨런,홀랜드로던,로넨루빈스타인"
카우 삼총사,2004-08-06,5592,한국소니픽쳐스릴리징브에나비스타영화㈜,"윌핀,존샌포드","랜디퀘이드,주디덴치,제니퍼틸리"
파일럿 스카이 미션,1900-01-01,1,0,윌리엄S.골드스타인,0
혈전 : 피의 전쟁,2020-07-28,60,(주)엔씨미디어,윌리엄시옹,론존슨
미니버 부인,1900-01-01,991,0,윌리엄와일러,"그리어가슨,월터피전,테레사라이트"
버그,2008-08-01,168,0,윌리엄프리드킨,"애슐리쥬드,마이클섀넌,린콜린스"
엑소시스트 디렉터스컷,1975-05-24,1337,워너브러더스코리아(주),윌리엄프리드킨,"엘렌버스틴,막스폰시도우,린다블레어"
헌티드,2004-03-12,28708,(주)튜브엔터테인먼트,윌리엄프리드킨,"베니치오델토로,토미리존스"
블라인드 러브,1900-01-01,103,0,유라이레호츠키,0
셰익스피어와 빅토르 위고가 만나는 곳,1900-01-01,179,0,유레네올라이졸라,0
블라디미르 왕자,1900-01-01,64,0,유리쿠라코브,0
이틀리즈 MV - 어트랙티브,1900-01-01,137,0,유발나단,0
페이스,2004-06-11,238950,CJENM,유상곤,"송윤아,신현준,조원희,장석원,김승욱,안석환,홍수아,신용하,나관,권혁,진혜미,박승찬,이승민,이철민,이주실,오정세"
종려나무 숲,2005-09-15,14323,롯데쇼핑㈜롯데엔터테인먼트,유상욱,"김민종,조은숙,김유미,백승철,문성기,김규형,이병혁,박광덕,김영기,김영춘,신현탁,정경섭"
미스터 주부퀴즈왕,2005-09-30,337772,(주)쇼박스,유선동,"공형진,김영애,한석규,이주현,신은경,조윤성,천진호,이화선,박미정,전현우,오승환,염현희,황석정,이주현,손범수,조은지,김태훈,최정인,김기천"
고死 두 번째 이야기: 교생실습,2010-07-28,857038,(주)넥스트엔터테인먼트월드(NEW),유선동,"김수로,황정음,윤시윤,김민영,박지연,박은빈,강내균,강성용,권현상,윤승아,황병현,박영주,박진수,남보라,박혜연,김기철,이동희,지성한,김도연,유미나,이상진,최민선,전상호,박상아,최아진,이종원,이용녀,지창욱,김진황,김보미"
친정엄마,2010-04-22,472009,(주)싸이더스,유성엽,"김해숙,박진희,정현주,박준호,최태영,최혜경,권오현,강주연,서원상,최선영,장지연,김태훈,이전환,이미도,조영진,김자영,이빛나,곽자형,이선주,오창경,신유람"
핀란드 메탈밴드,2020-04-09,2227,(유)조이앤컨텐츠그룹,유소라티오,0
혁명 이후,1900-01-01,12,0,유스리나스랄라,"멘너샬라비,바셈삼라,나헤드엘세바이"
